	res_simple	time_simple	res_fixed	time_fixed	res_adaptive	time_adaptive
19	(2.838371697652456-0.6122441488548612j)	0.002702951431274414	(2.838846989791809-0.6120206616794104j)	0.08075594902038574	(2.8378301062096623-0.6126114270476244j)	0.2601492404937744
20	(2.899486838146363-0.5689980335084974j)	0.002366304397583008	(2.900000617800717-0.5687772439262055j)	0.07871198654174805	(2.9000583442973995-0.5687703599842175j)	0.26702380180358887
21	(2.9572332528703598-0.521387484952352j)	0.0031042098999023438	(2.9577957098187326-0.5211615230326665j)	0.07721495628356934	(2.9583933509290734-0.5220947709371676j)	0.26315808296203613
22	(3.014021685988725-0.4670726162218555j)	0.002562999725341797	(3.0118363666306944-0.4695225220582138j)	0.07918715476989746	(3.0118646367956017-0.46929486366960305j)	0.26678919792175293
23	(3.069808487428767-0.41815439010573824j)	0.002444028854370117	(3.06197936320624-0.41395426975849575j)	0.07965517044067383	(3.062805126511065-0.4133560256982793j)	0.26322507858276367
24	(3.0756589801478422-0.35381887923480065j)	0.003175020217895508	(3.10804717998274-0.354854210911087j)	0.08100771903991699	(3.1076797277031383-0.3548111982771813j)	0.2596619129180908
25	(3.156112075898867-0.2842729736779736j)	0.0032279491424560547	(3.149799500712101-0.2924331818760624j)	0.08291816711425781	(3.1492109226561626-0.29172492468169403j)	0.26087498664855957
26	(3.118103741607478-0.1308047032097111j)	0.004180908203125	(3.1870603195882414-0.226984862442128j)	0.0746159553527832	(3.1870325654002833-0.22749388273529392j)	0.26328206062316895
27	(4.908649376759598-1.1383833505035228j)	0.005179882049560547	(3.219712731800758-0.1588442618017668j)	0.07426214218139648	(3.219098381910496-0.15937213281602053j)	0.26233887672424316
28	(3.2827670785123284-0.13832677838801244j)	0.002073049545288086	(3.2475427053389536-0.08826329623353857j)	0.08010196685791016	(3.2481305054248573-0.08827313002369386j)	0.2671339511871338
29	(3.274016690714853-0.08696247727180384j)	0.001909017562866211	(3.2703758924937927-0.01558225038892913j)	0.08001708984375	(3.2708780101532575-0.01605991002224888j)	0.2631809711456299
30	(3.4055776758134564-0.08630647011157161j)	0.0032591819763183594	(3.2882388549062402+0.0588455776892608j)	0.07597017288208008	(3.288216949439738+0.059571267500337866j)	0.26400017738342285
31	(2.8403617561676118+0.665697278812688j)	0.0020880699157714844	(3.300885593062779+0.13477433624749946j)	0.07956099510192871	(3.3012624734826606+0.13515500700063326j)	0.2661929130554199
32	(3.358027543724102+0.17617505694808444j)	0.0033359527587890625	(3.3083190829099554+0.21174096146368315j)	0.07755589485168457	(3.307559105735566+0.21170167197460615j)	0.26234006881713867
33	(3.25055256598755+0.30739486922821424j)	0.002270936965942383	(3.3104494560715167+0.2894972592634092j)	0.07910776138305664	(3.3101476002257733+0.28975480428340095j)	0.263592004776001
34	(3.175937201333582+0.6653843200506799j)	0.0030999183654785156	(3.307231514267493+0.367653505348427j)	0.0768439769744873	(3.307320873923142+0.366853457045934j)	0.26086902618408203
35	(3.3071761959405834+0.4607886476712876j)	0.0022530555725097656	(3.298660547731845+0.4458775758284825j)	0.08120298385620117	(3.298495784191497+0.44567379746967833j)	0.2646300792694092
36	(3.266573007507576+0.5002236013234826j)	0.002048969268798828	(3.284686610610652+0.5237799452286978j)	0.07896804809570312	(3.28552030268135+0.5239211520559351j)	0.2635519504547119
37	(3.1837185659037686+1.2656681075006038j)	0.004667758941650391	(3.2654349896177326+0.6010467563585693j)	0.07638406753540039	(3.2655052780722786+0.6009984055838102j)	0.26129603385925293
38	(3.1640790108171593+0.8645522447274553j)	0.002486705780029297	(3.240844014737315+0.6773482750280746j)	0.07868289947509766	(3.2401311739991425+0.6779482399238745j)	0.2720909118652344
39	(3.4037122471559647-0.5904721260832055j)	0.0027971267700195312	(3.2110090848352564+0.7522400641676972j)	0.07733607292175293	(3.211014494504099+0.7522141998090656j)	0.2649872303009033
40	(2.395336526305464+0.7840112140735944j)	0.002051115036010742	(3.1760713521153425+0.8254515222799794j)	0.08219218254089355	(3.1753136143994682+0.8252584445218197j)	0.26990580558776855
41	(1.6785683700451592-11.251512471557671j)	0.0021109580993652344	(3.136127562601569+0.8966382569417115j)	0.08153414726257324	(3.13625915718509+0.8965541864697824j)	0.26422595977783203
42	(3.1415825717340704+1.05106232033677j)	0.0021469593048095703	(3.0912584068304634+0.9654403018383514j)	0.07829904556274414	(3.0912577986639875+0.9654701452201027j)	0.2700033187866211
43	(3.0923222856066737+1.3056565435969834j)	0.0023298263549804688	(3.041658542679925+1.031550749798441j)	0.07922911643981934	(3.0418868316766092+1.0318180047162113j)	0.2655622959136963
44	(3.3459039049444876+2.2731050560478705j)	0.003705739974975586	(2.987495030857705+1.094648090553737j)	0.07599902153015137	(2.9881573906848033+1.0948775420192276j)	0.263962984085083
45	(2.920799150414482+1.1546659239052715j)	0.00228118896484375	(2.929005106517772+1.1544335831782822j)	0.08031797409057617	(2.928633837643932+1.1545878462942523j)	0.26555490493774414
46	(2.7979391777588387+0.059719469099891564j)	0.0018129348754882812	(2.8663021251118392+1.2105940882089548j)	0.07888507843017578	(2.8660891246740774+1.211170601347666j)	0.2654836177825928
47	(2.098655543378933+2.412172495642352j)	0.0022652149200439453	(2.7997554204212367+1.2628835883536134j)	0.07881665229797363	(2.799563551895669+1.2624508202805873j)	0.26094889640808105
48	(2.6439998696716014+1.0966634453448394j)	0.0030660629272460938	(2.729507245559132+1.311059970211312j)	0.07836484909057617	(2.7290292390380153+1.3108249542751607j)	0.2658848762512207
49	(2.5167578250928613+1.393287382788838j)	0.0020949840545654297	(2.6558579851960817+1.3547978569424193j)	0.07919001579284668	(2.656397430583829+1.354616984614435j)	0.2636728286743164
50	(2.5822282135011907+1.3924642401837821j)	0.004714012145996094	(2.5791436578418865+1.3939221471983694j)	0.07772111892700195	(2.5793343985606874+1.3935600349978796j)	0.2726728916168213
51	(2.6939695918765825+1.327122610842049j)	0.0026030540466308594	(2.4996129439038164+1.4282337170043102j)	0.07832098007202148	(2.499783421088612+1.428822021660953j)	0.26079416275024414
52	(2.421111616054284+1.4568330109329515j)	0.0024149417877197266	(2.417602751395935+1.4575131006522077j)	0.07863020896911621	(2.417864240334549+1.4576720104183796j)	0.2944309711456299
53	(2.392404748581263+1.7189561709680432j)	0.004259824752807617	(2.3334225607138928+1.481601719522516j)	0.08882308006286621	(2.3327938128518246+1.4817662340736513j)	0.28085899353027344
54	(1.9499749035938212+0.9477708934068221j)	0.0038118362426757812	(2.2474568466616494+1.500370734226716j)	0.07396697998046875	(2.2473347418137695+1.5005360895254571j)	0.266585111618042
55	(1.8939723393432555+1.3706512474106418j)	0.002323150634765625	(2.1599863298737163+1.513651000263744j)	0.08133316040039062	(2.1598569267283616+1.5130103553232086j)	0.2659108638763428
56	(2.040603793407227+1.5186005861857752j)	0.002521991729736328	(2.071401128510697+1.5213946541293484j)	0.07600808143615723	(2.0713528058591018+1.5213572129161665j)	0.26451683044433594
