	res_adaptive	time_adaptive
0	(1.0249845125060515-0.02595561821265743j)	0.40285801887512207
1	(1.2857811660961653-0.3074699305208418j)	0.2923309803009033
2	(1.4144393066918386-0.455285315038561j)	0.31876420974731445
3	(1.5133259797047673-0.5737643543792945j)	0.3764479160308838
4	(1.602825667313154-0.6705510581834725j)	0.32585787773132324
5	(1.6942696996825726-0.7632397307985849j)	0.47275519371032715
6	(1.772528027073653-0.8412875132108463j)	0.3295927047729492
7	(1.8500300383709685-0.9138168388312344j)	0.2984931468963623
8	(1.9297702676914321-0.9795656469643798j)	0.2959108352661133
9	(2.008565273558732-1.043470248598997j)	0.31958889961242676
10	(2.0839181050664917-1.1014799618736653j)	0.308135986328125
11	(2.160917716954852-1.152593608623869j)	0.3050968647003174
12	(2.2395729500833323-1.2018543311745575j)	0.2963712215423584
13	(2.315638886948355-1.2479903440607383j)	0.30811190605163574
14	(2.391738599776176-1.2876030396204126j)	0.3053431510925293
15	(2.470439385984046-1.3241999566696674j)	0.3195669651031494
16	(2.5479120239131916-1.3592776639135107j)	0.34503912925720215
17	(2.6239670966248734-1.3889948341070817j)	0.35898709297180176
18	(2.7022862278942803-1.4143956104561066j)	0.3172800540924072
19	(2.780891778148382-1.438703784300437j)	0.49892711639404297
20	(2.85739002456827-1.4592534960382346j)	0.4829549789428711
21	(2.9349657639260527-1.4746786009385j)	0.6771981716156006
22	(3.0139666106438483-1.4884220956243017j)	0.5200138092041016
23	(3.091061379609107-1.499884786829392j)	0.29407596588134766
24	(3.167738261046402-1.5061996234725359j)	0.3125581741333008
25	(3.246188402775708-1.5096571912843724j)	0.4194028377532959
26	(3.322893810307971-1.5117254617296534j)	0.40897202491760254
27	(3.3992369948387386-1.5093339290176218j)	0.3061099052429199
28	(3.4761256143122994-1.5029200885770249j)	0.34577226638793945
29	(3.552903926892914-1.4951689783438935j)	0.38339900970458984
30	(3.627303190710553-1.484158160551566j)	0.3349778652191162
31	(3.7016670234010407-1.4684412387481611j)	0.5099892616271973
32	(3.776544836667276-1.450778164247165j)	0.43521785736083984
33	(3.8490642194686173-1.4310281108657437j)	0.3399207592010498
34	(3.920086483426782-1.4066965743287114j)	0.2915940284729004
35	(3.99160492832169-1.3795002097495377j)	0.31145286560058594
36	(4.061331589369024-1.3509939088981826j)	0.4349799156188965
37	(4.128400089349249-1.3187564313043973j)	0.2965068817138672
38	(4.195282873530946-1.282872937414934j)	0.4307739734649658
39	(4.261126646084138-1.245836194189355j)	0.33501720428466797
40	(4.323797369283643-1.2062957903621354j)	0.4154529571533203
41	(4.385168643204545-1.1628167967600724j)	0.2911510467529297
42	(4.446023411538235-1.1177610009007524j)	0.3211700916290283
43	(4.503889107887974-1.0713388857983377j)	0.3853440284729004
44	(4.559281838528448-1.0213169031177258j)	0.30446386337280273
45	(4.614145100315849-0.968994874276365j)	0.32455921173095703
46	(4.666666066550011-0.9159778184833199j)	0.2970559597015381
47	(4.715847328361627-0.8602339295423469j)	0.30005884170532227
48	(4.763883632233225-0.8015746588604166j)	0.3087329864501953
49	(4.810288313838601-0.7422861046836792j)	0.29284191131591797
50	(4.852023941738384-0.6843600820473222j)	0.2936701774597168
51	(4.8935978758500625-0.6174468628585204j)	0.3892180919647217
52	(4.932888539227275-0.5524612346037154j)	0.3684978485107422
53	(4.968845782073208-0.48690433938652483j)	0.3058052062988281
54	(5.001536771927512-0.4187609205179139j)	0.30906200408935547
55	(5.032879207382092-0.34902140569318363j)	0.30265116691589355
56	(5.061415091642509-0.2793610029283262j)	0.35442304611206055
57	(5.086037485761968-0.20810508055971555j)	0.41609621047973633
58	(5.108719153468969-0.13489715407478847j)	0.39806485176086426
59	(5.129290772554944-0.06189995453275032j)	0.3297247886657715
60	(5.1458438003547995+0.011501727222681835j)	0.43840622901916504
61	(5.159623400823997+0.08675991107480935j)	0.37342190742492676
62	(5.171743337208414+0.16210437935776414j)	0.2988142967224121
63	(5.180311508313097+0.2368528686433669j)	0.3038160800933838
64	(5.1863937943754665+0.3121658321208731j)	0.35055112838745117
65	(5.188745200872303+0.3894178761620789j)	0.3617830276489258
66	(5.189373375451331+0.46485214273274544j)	0.3095359802246094
67	(5.186093436282658+0.5405880235947036j)	0.34852099418640137
68	(5.180708670623242+0.617184978939556j)	0.29444193840026855
69	(5.173325754008536+0.6926637657609591j)	0.338547945022583
70	(5.162147039737507+0.7674055309289827j)	0.2977590560913086
71	(5.148172704448412+0.8428986466706039j)	0.4114978313446045
72	(5.132627532309908+0.9176501197975393j)	0.3061339855194092
73	(5.1138470026405605+0.9908358550860441j)	0.4152567386627197
74	(5.091660286392724+1.0641714713932513j)	0.3494408130645752
75	(5.067868702140549+1.1372060030966602j)	0.39288902282714844
76	(5.0416445132564265+1.2082606854941607j)	0.3923358917236328
77	(5.01119371392414+1.2784718839101405j)	0.30542802810668945
78	(4.979909018218089+1.3486746904020772j)	0.3013758659362793
79	(4.945367671932545+1.4159837627283618j)	0.43749499320983887
80	(4.909409879310095+1.4833214236836927j)	0.38689517974853516
81	(4.870041291174769+1.549448831047867j)	0.29148387908935547
82	(4.829409495122849+1.6140072253070639j)	0.32546210289001465
83	(4.786165803055956+1.6760596181560041j)	0.3279440402984619
84	(4.7400105170544125+1.7371986576323597j)	0.30883216857910156
85	(4.692715772074596+1.7972226301589236j)	0.2972722053527832
86	(4.643732921856035+1.8545055075593533j)	0.3190419673919678
87	(4.5918419568342905+1.9100543581698382j)	0.29889798164367676
88	(4.538513846422924+1.9647408508974193j)	0.30146098136901855
89	(4.48428667662666+2.016927036607442j)	0.30921125411987305
90	(4.427586229249746+2.0666070333237565j)	0.2944366931915283
91	(4.369007040429746+2.115297824216752j)	0.3100118637084961
92	(4.309942379566244+2.1620060902556495j)	0.3029627799987793
93	(4.249162962185887+2.2057241012869557j)	0.2900259494781494
94	(4.186201324066925+2.2479370412727357j)	0.2962479591369629
95	(4.1227320829444825+2.2886676449091965j)	0.2916879653930664
96	(4.058407823386869+2.326339612840642j)	0.29150891304016113
97	(3.991964324182792+2.3617712360214593j)	0.2958648204803467
98	(3.9246869818284993+2.3959463832134507j)	0.29576706886291504
99	(3.857264134193897+2.4273836111345144j)	0.30076003074645996
100	(3.7882249147787013+2.4559057882785686j)	0.2962322235107422
101	(3.7179744920372317+2.4830097245376255j)	0.3157312870025635
102	(3.647953587521224+2.507920303637427j)	0.3975839614868164
103	(3.5771351085809084+2.529564041269369j)	0.3323218822479248
104	(3.5049356546913417+2.549308711741668j)	0.4249081611633301
105	(3.4329532190950025+2.567385824926392j)	0.2959930896759033
106	(3.3610520686537786+2.582298694898323j)	0.3046078681945801
107	(3.2879589724609213+2.594716448164919j)	0.4622340202331543
108	(3.2147868411870237+2.6057495945586324j)	0.35787391662597656
109	(3.142350445112408+2.6141138827907766j)	0.29935574531555176
110	(3.0692678143761003+2.6195178088223425j)	0.4087989330291748
111	(2.99574327866074+2.6234615801300283j)	0.4164419174194336
112	(2.923206409289304+2.6254033502994156j)	0.29555511474609375
113	(2.8507772374738614+2.6242390541090823j)	0.30918097496032715
114	(2.777722577891933+2.6212218499231374j)	0.28969717025756836
115	(2.7055041512433466+2.6167620228829467j)	0.4213070869445801
116	(2.634130507048501+2.609431043838465j)	0.3128519058227539
117	(2.562294553195186+2.5997244765504064j)	0.4227440357208252
118	(2.4909089607332464+2.5888166467274516j)	0.4395029544830322
119	(2.4208755056435365+2.5755713225169106j)	0.2987236976623535
120	(2.3509036808957027+2.559550616682175j)	0.36460208892822266
121	(2.281017654148629+2.5421962768425628j)	0.345552921295166
122	(2.212638487410719+2.5231476038991296j)	0.3327000141143799
123	(2.145055943943876+2.50125598668157j)	0.4350612163543701
124	(2.0774406305973527+2.477637036296764j)	0.33901166915893555
125	(2.0111453524322074+2.4528531635408717j)	0.31719326972961426
126	(1.9463440700760746+2.4255601010770205j)	0.31636905670166016
127	(1.8817383737963715+2.3961028448827695j)	0.28861498832702637
128	(1.8180661021498583+2.3657250352463746j)	0.2993919849395752
129	(1.7563066242749028+2.333467824056599j)	0.2995109558105469
130	(1.6952647617648122+2.2987933537510434j)	0.2997469902038574
131	(1.6347849421311897+2.263102752295827j)	0.2935450077056885
132	(1.5762403451429867+2.2262271433066685j)	0.30352306365966797
133	(1.51905373838891+2.18700577895491j)	0.46255016326904297
134	(1.4622792250618921+2.146418739719417j)	0.40386319160461426
135	(1.4071167944280358+2.1051559178981174j)	0.45297789573669434
136	(1.3538536149004265+2.0619465002545514j)	0.4301717281341553
137	(1.3011851089400432+2.016966067878112j)	0.47951316833496094
138	(1.249657170748493+1.9714708111642325j)	0.30222177505493164
139	(1.2002943555877859+1.9246339171278746j)	0.32848405838012695
140	(1.1520141478278942+1.8757913692842698j)	0.3069767951965332
141	(1.1044973759454817+1.826244467169637j)	0.2893540859222412
142	(1.0590825339770558+1.7759711122039423j)	0.4193398952484131
143	(1.015353500730596+1.7237812596724575j)	0.304210901260376
144	(0.9723040980894895+1.6705001775805581j)	0.3182051181793213
