	basis	result	time	integration range
0	19	(0.49987779233076474-0.00021785607305974716j)	37.57392621040344	1
1	19	(0.49986419373020996-0.002178510948019366j)	36.246176958084106	1
2	19	(0.4985014731603566-0.021736562069126636j)	36.29675483703613	1
3	19	(0.3540609842756052-0.13372268916015975j)	58.18459391593933	1
4	19	(0.001163129724308572-0.004230563967096233j)	138.12528491020203	1
5	19	(7.993223651505482+0.019657832577228716j)	43.85858607292175	4
6	19	(7.987040310460001+0.19644644394470623j)	36.7389600276947	4
7	19	(7.391389273491211+1.8358516897059898j)	36.52710294723511	4
8	19	(2.361289700396882+1.1610498395440585j)	64.20377087593079	4
9	19	(-0.04809010372094247+0.014871767611173172j)	120.79263114929199	4
10	19	(17.98307957938812+0.14194117589304078j)	36.97268509864807	6
11	19	(17.891258512570026+1.4149873753266051j)	38.15313100814819	6
12	19	(10.273733648866132+10.237790874720503j)	36.66874980926514	6
13	19	(2.068310806205331-2.2841794718502473j)	71.43662905693054	6
14	19	(-0.5357863870468179+0.032175669309894434j)	117.59901905059814	6
15	19	(31.96463503379977+0.5156120085356006j)	38.143815755844116	8
16	19	(31.355465332728357+5.102868833549402j)	40.54362392425537	8
17	19	(-1.5739432508822389+14.764949261243151j)	36.802359104156494	8
18	19	(4.424361083253665-0.8048150387530877j)	74.71172595024109	8
19	19	(0.29536206568197226+0.5140157835649639j)	133.64090704917908	8
