	res_simple	time_simple	res_fixed	time_fixed	res_adaptive	time_adaptive
0	(1.0273382105657238-0.026379957065613097j)	0.024841785430908203	(1.0238939974521417-0.031840266725977416j)	0.10772204399108887	(1.0677531415108699-0.05983812105972598j)	0.3708469867706299
1	(1.2907393133065563-0.2939082934431032j)	0.002894878387451172	(1.2905964351953927-0.29401544033172794j)	0.08949494361877441	(1.2905428617192776-0.2938315072227648j)	0.2905302047729492
2	(1.422866862421669-0.41457029241123405j)	0.0042192935943603516	(1.422900382533959-0.4144368304090109j)	0.08189892768859863	(1.4249053186045921-0.41149405488623236j)	0.2850809097290039
3	(1.533537483594096-0.5027231384842299j)	0.0031790733337402344	(1.5334328472027232-0.5027585614514597j)	0.08238697052001953	(1.5329897703922641-0.5028151639555714j)	0.29013991355895996
4	(1.6343559923677944-0.5722417760767226j)	0.0027577877044677734	(1.634374449820743-0.572299703657658j)	0.09077763557434082	(1.632374518652666-0.5709196998467694j)	0.2906029224395752
5	(1.729852154700301-0.6282961225926394j)	0.0033788681030273438	(1.729855112919903-0.6282712509847133j)	0.09411883354187012	(1.7300171490712586-0.6289843595177111j)	0.3087031841278076
6	(1.8218448582321545-0.6733125390794649j)	0.0030570030212402344	(1.8217513161743653-0.6733052392170341j)	0.0837392807006836	(1.8207831603254376-0.6749117572514196j)	0.2927260398864746
7	(1.9112890656873838-0.7088929463900013j)	0.003262042999267578	(1.911154010116492-0.7089999702235985j)	0.0839700698852539	(1.912063607678551-0.7087452994910381j)	0.3026130199432373
8	(1.9986842683055228-0.7361517176678846j)	0.0026481151580810547	(1.9986035320208062-0.7363887463790425j)	0.09753179550170898	(1.9999358820113724-0.737081094296681j)	0.29331398010253906
9	(2.0843509860644205-0.7558462895610313j)	0.00436711311340332	(2.084395213368424-0.7561648093458382j)	0.08659124374389648	(2.0840786128911444-0.7551268063195653j)	0.3015592098236084
10	(2.168443388945559-0.7684860730520181j)	0.004676103591918945	(2.168638049047645-0.7688170711450621j)	0.0871739387512207	(2.169131477135313-0.7677257680588803j)	0.28813600540161133
11	(2.2509778227099204-0.7744428200547817j)	0.004526853561401367	(2.251310024235449-0.7747250125607751j)	0.0829308032989502	(2.2502072230182644-0.7751056463691j)	0.29912281036376953
12	(2.3318504642720645-0.774062318388091j)	0.0034339427947998047	(2.3322839188595363-0.7742514325719458j)	0.08950233459472656	(2.331460830935125-0.7738740684532608j)	0.2902529239654541
13	(2.411013406671846-0.7675015358970175j)	0.0035140514373779297	(2.4115095691767428-0.7675843301626797j)	0.08618903160095215	(2.4119620352550357-0.7686998767477106j)	0.3060610294342041
14	(2.4882543828952826-0.7551242833495225j)	0.003118276596069336	(2.488772132803303-0.755106118276315j)	0.08445572853088379	(2.488534645304966-0.7556932081576215j)	0.29137516021728516
15	(2.5633650155608474-0.7370460555072305j)	0.002311229705810547	(2.563880318405316-0.7369455677498794j)	0.08411097526550293	(2.564972956973978-0.7364171123903974j)	0.31458091735839844
16	(2.6361833970967483-0.713522118809737j)	0.005285978317260742	(2.636680314829429-0.7133565246379636j)	0.1515660285949707	(2.6370482311084067-0.7134685074596899j)	0.5081231594085693
17	(2.7064333327146346-0.6847329112713958j)	0.009185075759887695	(2.706912121648413-0.6845313047606164j)	0.1617889404296875	(2.706337996715091-0.6834652033224683j)	0.2946958541870117
