	Famp	Fphase
2013	0.9271884497433093	-0.8245910987989504
2014	0.9404853384951465	-0.8254802491905497
2015	0.9537917491870347	-0.826176559429335
2016	0.9671053944699538	-0.8266878727162428
2017	0.980424083752823	-0.8270216434840042
2018	0.9937457171293623	-0.8271849589878585
2019	1.0070682797379438	-0.8271845596769446
2020	1.020389836521591	-0.8270268584027105
2021	1.0337085273578497	-0.8267179585214987
2022	1.0470225625306908	-0.8262636709478312
2023	1.0603302185184507	-0.825669530214134
2024	1.0736298340741173	-0.8249408095907672
2025	1.086919806576028	-0.8240825353193374
2026	1.1001985886286934	-0.8230995000095356
2027	1.1134646848951077	-0.8219962752480913
2028	1.1267166491434744	-0.8207772234660815
2029	1.139953081492306	-0.8194465091087176
2030	1.153172625839527	-0.8180081091494271
2031	1.166373967461936	-0.8164658229877063
2032	1.179555830772776	-0.8148232817684168
2033	1.1927169772258872	-0.8130839571576096
2034	1.2058562033559213	-0.811251169608459
2035	1.2189723389448848	-0.8093280961481872
2036	1.2320642453059878	-0.8073177777159886
2037	1.2451308136766672	-0.8052231260790728
2038	1.2581709637128984	-0.8030469303533158
2039	1.2711836420778477	-0.8007918631522474
2040	1.2841678211184255	-0.7984604863879139
2041	1.297122497623443	-0.7960552567444146
2042	1.3100466916580078	-0.7935785308444885
2043	1.3229394454689172	-0.7910325701277812
2044	1.3357998224561904	-0.7884195454585008
2045	1.3486269062064513	-0.7857415414786724
2046	1.3614197995838337	-0.7830005607227407
2047	1.3741776238748729	-0.7801985275075487
2048	1.386899517983612	-0.7773372916116188
2049	1.3995846376737395	-0.7744186317558476
2050	1.4122321548548296	-0.7714442588979973
2051	1.4248412569095417	-0.7684158193516888
2052	1.4374111460595578	-0.765334897740284
2053	1.4499410387674687	-0.7622030197956262
2054	1.462430165172584	-0.7590216550103575
2055	1.4748777685583212	-0.7557922191527124
2056	1.48728310484952	-0.7525160766514161
2057	1.4996454421374772	-0.7491945428584793
2058	1.5119640602312774	-0.7458288861967175
2059	1.5242382502337501	-0.7424203301985346
2060	1.5364673141404952	-0.7389700554422858
2061	1.548650564460641	-0.735479201392032
2062	1.5607873238581051	-0.7319488681456974
2063	1.5728769248120171	-0.7283801180975042
2064	1.5849187092953574	-0.7247739775185436
2065	1.5969120284704421	-0.7211314380607466
2066	1.6088562424006956	-0.7174534581880361
2067	1.6207507197774358	-0.7137409645388364
2068	1.6325948376609363	-0.7099948532234034
2069	1.6443879812349647	-0.70621599105998
2070	1.6561295435740369	-0.7024052167523572
2071	1.6678189254226379	-0.6985633420127398
2072	1.6794555349857776	-0.6946911526321703
2073	1.6910387877302155	-0.6907894095015662
2074	1.7025681061958617	-0.6868588495860729
2075	1.714042919816624	-0.6829001868547834
2076	1.725462664750387	-0.6789141131685956
2077	1.736826783717493	-0.6749012991279718
2078	1.748134725847306	-0.6708623948828523
2079	1.759385946532512	-0.6667980309065844
2080	1.770579907290547	-0.6627088187358147
2081	1.7817160756319446	-0.6585953516777553
2082	1.7927939249353069	-0.6544582054868541
2083	1.8038129343282179	-0.6502979390119767
2084	1.8147725885742738	-0.6461150948159039
2085	1.8256723779654502	-0.6419101997683361
2086	1.836511798219804	-0.637683765613603
2087	1.8472903503842624	-0.6334362895146252
2088	1.8580075407420333	-0.6291682545738908
2089	1.868662880724582	-0.6248801303327189
2090	1.879255886827885	-0.6205723732501371
2091	1.889786080532746	-0.6162454271615835
2092	1.9002529882289747	-0.6118997237193623
2093	1.9106561411432461	-0.6075356828148127
2094	1.9209950752705098	-0.6031537129835912
2095	1.9312693313085618	-0.5987542117947607
2096	1.9414784545959465	-0.5943375662242157
2097	1.9516219950528666	-0.5899041530134189
2098	1.9616995071247822	-0.5854543390139247
2099	1.9717105497289622	-0.5809884815184879
2100	1.9816546862034126	-0.5765069285792812
2101	1.9915314842585443	-0.5720100193137122
2102	2.001340515930859	-0.5674980841986685
2103	2.0110813575392212	-0.5629714453533273
2104	2.0207535896430544	-0.558430416811393
2105	2.03035679700261	-0.5538753047829331
2106	2.039890568541288	-0.5493064079064436
2107	2.049354497309646	-0.5447240174916317
2108	2.058748180451231	-0.5401284177529868
2109	2.068071219170341	-0.5355198860348469
2110	2.0773232187008976	-0.5308986930283798
2111	2.0865037882773607	-0.5262651029804012
2112	2.095612541106749	-0.5216193738948052
2113	2.1046490943422764	-0.5169617577267408
2114	2.113613069058195	-0.5122925005698493
2115	2.1225040902259606	-0.5076118428367624
2116	2.1313217866916654	-0.5029200194333655
2117	2.1400657911544623	-0.49821725992686355
2118	2.1487357401463845	-0.4935037887080408
2119	2.1573312740128343	-0.4887798251477525
2120	2.1658520368944374	-0.48404558374832335
2121	2.1742976767097364	-0.47930127428935204
2122	2.182667845138726	-0.4745471019689789
2123	2.190962197607297	-0.4697832675400475
2124	2.199180393272693	-0.4650099674418362
2125	2.2073220950094905	-0.46022739392743717
2126	2.2153869693965484	-0.4554357351867173
2127	2.223374686704679	-0.45063517546545945
2128	2.2312849208848053	-0.44582589518039223
2129	2.2391173495571883	-0.4410080710305939
2130	2.2468716540008145	-0.43618187610527076
2131	2.254547519143757	-0.43134747998797734
2132	2.2621446335539788	-0.42650504885764506
2133	2.2696626894306946	-0.421654745586307
2134	2.277101382596176	-0.4167967298337707
2135	2.284460412488287	-0.41193115813923215
2136	2.2917394821533703	-0.40705818401027577
2137	2.2989382982393907	-0.40217795800876943
2138	2.306056570989991	-0.3972906278345021
2139	2.313094014238512	-0.39239633840585436
2140	2.3200503454025854	-0.3874952319384768
2141	2.3269252854792843	-0.3825874480210993
2142	2.3337185590402427	-0.3776731236895763
2143	2.3404298942275483	-0.37275239349834044
2144	2.347059022749577	-0.3678253895899085
2145	2.3536056798774765	-0.36289224176238527
2146	2.360069604441655	-0.3579530775349629
2147	2.3664505388288584	-0.3530080222114038
2148	2.372748228979242	-0.34805719894200254
2149	2.3789624243837126	-0.34310072878343256
2150	2.3850928780818466	-0.3381387307572025
2151	2.391139346659628	-0.33317132190627907
2152	2.3971015902476305	-0.3281986173502873
2153	2.4029793725193627	-0.3232207303389822
2154	2.408772460689778	-0.31823777230450107
2155	2.4144806255140154	-0.31324985291203583
2156	2.420103641286336	-0.3082570801092027
2157	2.42564128583912	-0.3032595601740942
2158	2.431093340542133	-0.29825739776207183
2159	2.436459590301829	-0.2932506959512717
