	res_adaptive	time_adaptive
0	(1.0580788948761273-0.020546513107866312j)	0.36214709281921387
1	(1.0493565786755448-0.08417070081683252j)	0.409451961517334
2	(1.086614538046572-0.13204213950039798j)	0.3074307441711426
3	(1.1154172857070013-0.1638285680914176j)	0.35268187522888184
4	(1.143091084202015-0.1924670134000559j)	0.3336179256439209
5	(1.1747724620545004-0.21688658411713205j)	0.3105309009552002
6	(1.2032584300028226-0.23687644761010176j)	0.31105899810791016
7	(1.2284473054168499-0.2569488188330024j)	0.3294219970703125
8	(1.2554652760753586-0.2733201002951285j)	0.3243589401245117
9	(1.281882080495972-0.2843911553555186j)	0.3079843521118164
10	(1.3076228760107567-0.29612741690300326j)	0.31397318840026855
11	(1.3351990260905862-0.3075664302564967j)	0.31851911544799805
12	(1.3608200181846934-0.3153259429719199j)	0.3066840171813965
13	(1.3855327608680608-0.3219929640685968j)	0.33362913131713867
14	(1.41028677427524-0.3273512691154769j)	0.3160059452056885
15	(1.4366086300918595-0.3297748894046719j)	0.3182821273803711
16	(1.4590504564250342-0.3327318163996589j)	0.3165249824523926
17	(1.4857068102060136-0.33547562122539126j)	0.33011412620544434
18	(1.51002294128489-0.334269175962174j)	0.3217747211456299
19	(1.5360612773329771-0.3336422804192045j)	0.3001890182495117
20	(1.5580052131589908-0.33014784630050853j)	0.31848597526550293
21	(1.5826385725960437-0.32623457786806387j)	0.3037288188934326
22	(1.6046003496951358-0.32160190536102584j)	0.3084690570831299
23	(1.6270241893727362-0.3163088933483329j)	0.33010196685791016
24	(1.6502370370195616-0.3080804021399956j)	0.3166029453277588
25	(1.6721095006465903-0.29938998804538197j)	0.358489990234375
26	(1.694072245695853-0.29159207766523604j)	0.3197021484375
27	(1.7156111254834083-0.2815119083042926j)	0.2974698543548584
28	(1.7350676728121888-0.2696842729416229j)	0.3278379440307617
29	(1.7551098230474442-0.25784540987304067j)	0.32593798637390137
30	(1.7759866587116846-0.2444834070668873j)	0.304365873336792
31	(1.7947052686132114-0.2305004635526201j)	0.3113901615142822
32	(1.811791257823552-0.2169659763590409j)	0.30785393714904785
33	(1.8304856423073566-0.20093839395751834j)	0.3281989097595215
34	(1.8472034543691278-0.18339720387805902j)	0.32450366020202637
35	(1.8637398284535696-0.1667709515409158j)	0.31873011589050293
36	(1.8803568419554377-0.1493024810155324j)	0.33908510208129883
37	(1.8946114121540107-0.13034136393346096j)	0.3254680633544922
38	(1.9078940318571638-0.11131265410230973j)	0.33331823348999023
39	(1.922035245181579-0.09096770670895199j)	0.32941174507141113
40	(1.9348699781995362-0.06962847254048465j)	0.3374631404876709
41	(1.9462658975822271-0.04930981298662085j)	0.3299269676208496
42	(1.9573921659354159-0.02808473914966292j)	0.32024288177490234
43	(1.9669091822437896-0.004892386538027815j)	0.3217508792877197
44	(1.9755616851632767+0.01795952277082613j)	0.335582971572876
45	(1.9847485516685843+0.040862428084374625j)	0.33887314796447754
46	(1.9911958964041425+0.06372951745346123j)	0.3429551124572754
47	(1.9975605259769282+0.08817259902290403j)	0.30521225929260254
48	(2.0030421671652574+0.11234525384567401j)	0.31592321395874023
49	(2.007705785937157+0.13797399445998937j)	0.31339502334594727
50	(2.010955375591109+0.162683089066317j)	0.3264899253845215
51	(2.0139003608787887+0.18689074520083387j)	0.30829596519470215
52	(2.0152205762090944+0.2124657922182296j)	0.30290675163269043
53	(2.014742424567963+0.23806990216076465j)	0.32176804542541504
54	(2.014647899241065+0.2634217496245157j)	0.3155839443206787
55	(2.0138018549821015+0.2894119440563052j)	0.32753896713256836
56	(2.0107424852374383+0.3146085426704961j)	0.3543417453765869
57	(2.0070326895015147+0.3393810445263718j)	0.30045390129089355
58	(2.002546742699219+0.36551713129996755j)	0.332564115524292
59	(1.996594061699954+0.3913435413278744j)	0.32672882080078125
60	(1.990529236798564+0.415912180719648j)	0.32930517196655273
61	(1.9834659024542476+0.4408623324777536j)	0.3257720470428467
62	(1.974082468664931+0.46566963936968625j)	0.3522958755493164
63	(1.9643381627753955+0.4898773439270089j)	0.3188951015472412
64	(1.954534061266516+0.5146439602060415j)	0.3002448081970215
65	(1.9430458533869672+0.5386870129144603j)	0.3142280578613281
66	(1.9303566612830025+0.562266651372218j)	0.33366894721984863
67	(1.917581446080459+0.5842621859072297j)	0.3190770149230957
