	res_adaptive	time_adaptive	w
0	(1.056370761343572-0.05055576769349927j)	0.3503377437591553	0.001
1	(1.2904494965688977-0.2640741140746066j)	0.2996218204498291	0.09632793136320304
2	(1.4217514355123368-0.3528635850220235j)	0.3049302101135254	0.19165586272640608
3	(1.531682440447365-0.40870411093219094j)	0.3049960136413574	0.2869837940896091
4	(1.6315320051475528-0.44444782552577833j)	0.2935757637023926	0.38231172545281217
5	(1.7250874698482432-0.4646031224966805j)	0.28431200981140137	0.4776396568160152
6	(1.813348179288156-0.4713587350066537j)	0.283405065536499	0.5729675881792182
7	(1.8961570033600947-0.4664724379602351j)	0.30016016960144043	0.6682955195424213
8	(1.9732389979426326-0.4517565842826752j)	0.2886669635772705	0.7636234509056243
9	(2.044699553879907-0.42883236635558863j)	0.2884101867675781	0.8589513822688274
10	(2.1114889934422894-0.3990186297661754j)	0.2940831184387207	0.9542793136320304
11	(2.1720825624696043-0.3619406304991669j)	0.2895641326904297	1.0496072449952334
12	(2.2278908782059035-0.3186014832442974j)	0.28502798080444336	1.1449351763584363
13	(2.2776154296447215-0.26918204620007125j)	0.3700838088989258	1.2402631077216395
14	(2.3205458191998094-0.21459872165235871j)	0.3874778747558594	1.3355910390848424
15	(2.3563775842222188-0.15601925288549862j)	0.30428504943847656	1.4309189704480456
16	(2.3852458391890674-0.09444259187802329j)	0.2934870719909668	1.5262469018112486
17	(2.407404372934561-0.030452588801180458j)	0.3003220558166504	1.6215748331744515
18	(2.4228551321136824+0.035650977030146136j)	0.2915799617767334	1.7169027645376547
19	(2.431256948630239+0.1034795219474513j)	0.28968286514282227	1.8122306959008576
20	(2.4321812305421098+0.17227988630623264j)	0.29117727279663086	1.9075586272640608
21	(2.4254762523793247+0.24099335703327995j)	0.29167795181274414	2.0028865586272637
22	(2.411417967641063+0.30858414962862724j)	0.2984449863433838	2.098214489990467
23	(2.3905264813308746+0.37433967314846006j)	0.2924070358276367	2.19354242135367
24	(2.3632260901274638+0.43788426883753107j)	0.28981995582580566	2.288870352716873
25	(2.3296541991198176+0.4989098282252426j)	0.2893049716949463	2.384198284080076
26	(2.2897823242191633+0.5568790709701077j)	0.2907881736755371	2.479526215443279
27	(2.243727372011545+0.6109668661243157j)	0.3131229877471924	2.574854146806482
28	(2.191969060368714+0.6602884923679391j)	0.2923111915588379	2.670182078169685
29	(2.135283209711577+0.7042043851756985j)	0.3110501766204834	2.765510009532888
30	(2.0744558846096486+0.7424338379864219j)	0.3171730041503906	2.8608379408960913
31	(2.0100387574810576+0.7748860768291868j)	0.31905484199523926	2.956165872259294
32	(1.9423567673033455+0.8013725738419767j)	0.31091833114624023	3.0514938036224972
33	(1.871749861723457+0.8214633799948183j)	0.30269384384155273	3.1468217349857004
34	(1.7988216604526586+0.8346141129007705j)	0.2988250255584717	3.242149666348903
35	(1.724468296421223+0.8404443558011082j)	0.3050539493560791	3.3374775977121063
36	(1.6496641715436544+0.8389164342078372j)	0.30019617080688477	3.4328055290753094
37	(1.575196874586528+0.8302605353817674j)	0.37835073471069336	3.5281334604385126
38	(1.5015844084639542+0.8147202940652285j)	0.3769948482513428	3.6234613918017153
39	(1.4292384923919974+0.7923522660198961j)	0.3896501064300537	3.7187893231649185
40	(1.358715319735378+0.7630571341535756j)	0.3075900077819824	3.8141172545281217
41	(1.2908125003968303+0.7268032239927255j)	0.38518404960632324	3.9094451858913244
42	(1.2264811819106438+0.6838670382196623j)	0.3421199321746826	4.004773117254528
43	(1.166476186959039+0.6347915093862074j)	0.5074799060821533	4.100101048617731
44	(1.1113015861664977+0.5802333071403141j)	0.40761399269104004	4.195428979980934
45	(1.0612458774815572+0.520706565437328j)	0.3132791519165039	4.290756911344137
46	(1.016622264926155+0.4565358305455042j)	0.3336319923400879	4.386084842707341
47	(0.9779314945698896+0.3880194364394858j)	0.33784008026123047	4.481412774070543
48	(0.9458090340040134+0.3156555022225655j)	0.3816850185394287	4.576740705433746
49	(0.9208233196024735+0.24023330497464296j)	0.4186069965362549	4.67206863679695
50	(0.9031870594787956+0.16262942327817753j)	0.48034191131591797	4.7673965681601524
51	(0.8929608047728996+0.08370207067529611j)	0.3544180393218994	4.862724499523355
52	(0.8900486189321131+0.0040420620020264475j)	0.315532922744751	4.958052430886559
