	res_adaptive	time_adaptive
0	(1.0207791800005104-0.059043392279701436j)	0.316176176071167
1	(1.2793523307747898-0.22561330647345465j)	0.285053014755249
2	(1.3920316015526821-0.28456013890399035j)	0.29146480560302734
3	(1.4725974895010865-0.3245840918168915j)	0.2861189842224121
4	(1.5381634049149076-0.34762249297536685j)	0.29001283645629883
5	(1.598408660292844-0.3649920233990214j)	0.28328394889831543
6	(1.6479632936856616-0.3770281654215838j)	0.2849562168121338
7	(1.6931979302236622-0.38141655344093783j)	0.2896690368652344
8	(1.733913341123252-0.3859990077485209j)	0.28477001190185547
9	(1.7676105964648303-0.38752465153117277j)	0.29065895080566406
10	(1.8009789719132931-0.3871361650629884j)	0.28939175605773926
11	(1.8310155355024031-0.3880847087057713j)	0.28716230392456055
12	(1.8582531926227392-0.38511964029726303j)	0.2837798595428467
13	(1.8856250113385866-0.3816161626842116j)	0.4697132110595703
14	(1.908361022758708-0.37794179889792356j)	0.473268985748291
15	(1.9296431326394543-0.3717229033774657j)	0.4195101261138916
16	(1.9501301773794326-0.3675981585496233j)	0.411937952041626
17	(1.9650702794314974-0.3554572334670586j)	0.3036348819732666
18	(1.98598263846038-0.35670648292472706j)	0.3876359462738037
19	(2.0029220823199667-0.35185697329330773j)	0.3003370761871338
20	(2.0175916857251113-0.34462725991530724j)	0.3007209300994873
21	(2.0326240255367405-0.3376799782667519j)	0.2953810691833496
22	(2.044775719372206-0.33194238565485423j)	0.2986481189727783
23	(2.0565759883256223-0.32480287663992163j)	0.3067042827606201
24	(2.0689756493141087-0.3193064442166705j)	0.3070807456970215
25	(2.079280829457682-0.3132095341172828j)	0.2987060546875
26	(2.090318127390487-0.3056849571012089j)	0.29532504081726074
27	(2.1000937065058856-0.2995938788632878j)	0.29649996757507324
28	(2.107864770098102-0.29235230995904393j)	0.29726314544677734
29	(2.116577279918399-0.28576013307718284j)	0.29578280448913574
30	(2.123781322880468-0.280549596505192j)	0.297849178314209
31	(2.131027946965792-0.27380134622071506j)	0.29816293716430664
32	(2.1390193820780574-0.2679517398698233j)	0.293377161026001
33	(2.144879343449336-0.26175921259695556j)	0.29686999320983887
34	(2.151046585297829-0.2545792846401285j)	0.3027770519256592
35	(2.1565507756680753-0.24925245273698715j)	0.29619884490966797
36	(2.160746953500119-0.2433595748386469j)	0.3001117706298828
37	(2.166383509431119-0.2376771567435047j)	0.2947549819946289
38	(2.171037526208564-0.2329348310415228j)	0.2992279529571533
39	(2.175354119509815-0.22665739100005122j)	0.29977917671203613
40	(2.1800728545359025-0.22096491928909057j)	0.2987840175628662
41	(2.18287619608644-0.21573884068503046j)	0.29677915573120117
42	(2.1861914828599414-0.2099097126210755j)	0.2949802875518799
43	(2.1896622099718708-0.20576628887858112j)	0.29394102096557617
44	(2.1921936951344114-0.20090329463992257j)	0.29673123359680176
45	(2.1959525357034564-0.19564890152794628j)	0.30127692222595215
46	(2.198624618207703-0.19126847197239033j)	0.29347991943359375
47	(2.200542095379506-0.18571373912653039j)	0.2956821918487549
48	(2.203129800110435-0.1811932580685986j)	0.2986419200897217
49	(2.20442143312017-0.17737118241850147j)	0.29549193382263184
50	(2.2064860591492836-0.17270496656292095j)	0.30096983909606934
51	(2.20897634160476-0.1691380684477376j)	0.29894089698791504
52	(2.2102644847898856-0.1647827330491256j)	0.298306941986084
53	(2.2123086812213977-0.1600084598068891j)	0.29623985290527344
54	(2.213414573688547-0.15650569408773263j)	0.29724884033203125
55	(2.213956152778566-0.15228691533347483j)	0.29874396324157715
56	(2.215647830109328-0.1488699785399482j)	0.29453492164611816
57	(2.216453989921015-0.14591859476995894j)	0.29437923431396484
58	(2.2177334463101332-0.1417445055415828j)	0.3181419372558594
59	(2.2192224656973494-0.1384510831516108j)	0.32317209243774414
60	(2.2192902033640425-0.1348248307360691j)	0.30057191848754883
61	(2.2201048639237926-0.13103454824466143j)	0.3033730983734131
62	(2.2205668515973063-0.1286459797478935j)	0.2926039695739746
63	(2.2207159275735466-0.12531726517823338j)	0.2886970043182373
64	(2.2220750837996275-0.12249005410722158j)	0.29517579078674316
65	(2.222406776369616-0.11985556652098905j)	0.2959010601043701
66	(2.222719372688177-0.11612307798424559j)	0.29517316818237305
67	(2.223276991005941-0.11348641387631098j)	0.29821014404296875
68	(2.2227066697514752-0.11095607254806716j)	0.29984283447265625
69	(2.2231522143609883-0.1081160065899679j)	0.2974588871002197
70	(2.2236175571573114-0.10631748745799918j)	0.2972269058227539
71	(2.2235531178092875-0.10350472158155988j)	0.2987549304962158
72	(2.2243210371698434-0.10069416324067393j)	0.2942490577697754
73	(2.223981430921812-0.09855129796804085j)	0.2954411506652832
74	(2.2235702668294035-0.09567710036016142j)	0.29532909393310547
75	(2.223839435326523-0.09388674512817596j)	0.29943132400512695
76	(2.2233306554412144-0.09214451969032245j)	0.2951030731201172
77	(2.223733501292081-0.08965077647290443j)	0.29541897773742676
78	(2.22403899963264-0.08794559788797185j)	0.30071020126342773
79	(2.2234341736023113-0.08546186980467296j)	0.32961010932922363
80	(2.2222304503713497-0.08466544539144949j)	0.3121192455291748
81	(2.2229330410410126-0.08183265816273055j)	0.2995760440826416
82	(2.222453934455984-0.07977057337257287j)	0.3109128475189209
83	(2.2228920529837715-0.07835401297531064j)	0.31742215156555176
84	(2.2224584885556626-0.07681383250767593j)	0.3024411201477051
85	(2.2224911722716834-0.07441006413584861j)	0.3029799461364746
86	(2.2223521809914737-0.07298150378409751j)	0.2984600067138672
87	(2.2213403353453787-0.07120870184966377j)	0.30654001235961914
88	(2.2214327814219605-0.06988510378608626j)	0.3002631664276123
